LID,BPID,FPID,BLID,FLID
1,2801,2802,0,0
2,2803,2804,0,0
3,2805,2806,0,0
4,2807,2808,0,0
5,2809,2810,0,6
6,2811,2812,5,7
7,2813,2814,6,8
8,2815,2816,7,0
9,2817,2818,0,0
10,2819,2820,0,0
11,2821,2822,0,0
12,2823,2824,0,13
13,2825,2826,12,0
14,2827,2828,0,15
15,2829,2830,14,0
16,2831,2832,0,0
17,2833,2834,0,0
18,2835,2836,0,19
19,2837,2838,18,0
20,2839,2840,0,0
21,2841,2842,0,0
22,2843,2844,0,0
23,2845,2846,0,0
24,2847,2848,0,0
25,2849,2850,0,0
26,2851,2852,0,0
27,2853,2854,0,0
28,2855,2856,0,0
29,2857,2858,0,0
30,2859,2860,0,31
31,2861,2862,30,0
32,2863,2864,0,0
33,2865,2866,0,0
34,2867,2868,0,0
35,2869,2870,0,0
36,2871,2872,0,0
37,2873,2874,0,0
38,2875,2876,0,0
39,2877,2878,0,0
40,2879,2880,0,0
41,2881,2882,0,0
42,2883,2884,0,0
43,2885,2886,0,0
44,2887,2888,0,0
45,2889,2890,0,0
46,2891,2892,0,0
47,2893,2894,0,48
48,2895,2896,47,49
49,2897,2898,48,50
50,2899,2900,49,0
51,2901,2902,0,52
52,2903,2904,51,53
53,2905,2906,52,54
54,2907,2908,53,55
55,2909,2910,54,56
56,2911,2912,55,57
57,2913,2914,56,58
58,2915,2916,57,59
59,2917,2918,58,0
60,2919,2920,0,61
61,2921,2922,60,62
62,2923,2924,61,63
63,2925,2926,62,64
64,2927,2928,63,65
65,2929,2930,64,66
66,2931,2932,65,67
67,2933,2934,66,68
68,2935,2936,67,69
69,2937,2938,68,70
70,2939,2940,69,0
71,2941,2942,0,72
72,2943,2944,71,73
73,2945,2946,72,74
74,2947,2948,73,0
75,2949,2950,0,76
76,2951,2952,75,77
77,2953,2954,76,78
78,2955,2956,77,79
79,2957,2958,78,80
80,2959,2960,79,81
81,2961,2962,80,0
82,2963,2964,0,83
83,2965,2966,82,84
84,2967,2968,83,85
85,2969,2970,84,86
86,2971,2972,85,0
87,2973,2974,0,88
88,2975,2976,87,89
89,2977,2978,88,90
90,2979,2980,89,0
91,2981,2982,0,92
92,2983,2984,91,0
93,2985,2986,0,94
94,2987,2988,93,0
95,2989,2990,0,96
96,2991,2992,95,0
97,2993,2994,0,98
98,2995,2996,97,0
99,2997,2998,0,100
100,2999,3000,99,101
101,3001,3002,100,102
102,3003,3004,101,0
103,3005,3006,0,104
104,3007,3008,103,0
105,3009,3010,0,106
106,3011,3012,105,0
