ID,VID,PLID,Type,LinkID
1,5,1,1,826
2,6,1,3,826
3,7,1,2,826
4,8,1,1,826
5,9,1,3,826
6,10,1,2,826
7,11,1,1,826
8,12,1,3,826
9,13,1,2,826
10,14,1,1,826
11,15,1,3,826
12,16,1,2,826
13,17,2,1,2113
14,18,2,3,2113
15,19,2,2,2113
16,20,2,1,2113
17,21,2,3,2113
18,22,2,2,2113
19,23,2,1,2113
20,24,2,3,2113
21,25,2,2,2113
22,26,3,1,674
23,27,3,3,674
24,28,3,2,674
25,29,3,1,674
26,30,3,3,674
27,31,3,2,674
28,32,3,1,528
29,33,3,3,528
30,34,3,2,528
31,35,3,1,528
32,36,3,3,528
33,37,3,2,528
34,38,4,1,50
35,39,4,3,50
36,40,4,2,50
37,41,4,1,50
38,42,4,3,50
39,43,4,2,50
40,44,4,1,50
41,45,4,3,50
42,46,4,2,50
43,47,4,1,210
44,48,4,3,210
45,49,4,2,210
